index;name;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;speechiness;tempo;time_signature;valence
45;Baba O'Riley;The Who;1971;5.006666667;77;489;313;489;724;185;5;287;-8.367;0.0352;117.292;4;0.15
46;Jeremy;Pearl Jam;1991;5.303766667;72;285;0.0404;285;846;0;2;182;-6.472;0.0438;108.808;4;287
47;Welcome To The Jungle;Guns N' Roses;1987;4.533766667;78;447;0.0235;447;954;403;8;298;-8.069;0.0751;123.453;4;331
48;Bitter Sweet Symphony;The Verve;1997;5.954433333;78;356;0.0335;356;917;0;9;406;-6.006;0.0479;171.176;4;518
49;Roxanne;The Police;1978;3.1991;76;618;0.0384;618;748;4.10E-06;0;0.0473;-8.905;358;134.114;4;663
50;Money;Pink Floyd;1973;6.380566667;72;469;0.0241;469;537;0.00201;9;269;-10.421;152;124.193;1;783
51;Every Breath You Take - Remastered 2003;The Police;1983;4.231433333;3;813;0.56;813;0.46;0.0105;1;0.0724;-9.78;0.0346;117.387;4;729
52;A Day In The Life - Remastered 2009;The Beatles;1967;5.62355;66;364;0.29;364;457;0.000106;4;922;-14.162;0.0675;163.219;4;175
53;Sweet Emotion;Aerosmith;1975;4.568883333;75;0.38;0.00298;0.38;0.76;0.0294;9;104;-10.961;0.0378;99.437;4;491
54;Born To Be Wild - Single Version;Steppenwolf;1968;3.548216667;68;439;262;439;734;333;2;244;-12.168;97;145.703;4;0.54
55;New Year's Day - Single Edit - Remastered;U2;1983;3.92955;57;0.53;0.0033;0.53;783;0.0107;4;319;-6.768;0.0311;133.662;4;571
56;Paint It, Black;The Rolling Stones;1966;3.3711;78;464;0.0493;464;795;0.00244;1;399;-9.267;0.0926;158.691;4;612
57;Black Dog - Remaster;Led Zeppelin;1971;4.9231;72;437;396;437;864;0.0314;4;242;-7.842;0.0904;81.394;4;749
58;Basket Case;Green Day;1994;3.02555;79;442;0.00293;442;943;8.71E-06;3;91;-3.205;0.0602;85.064;4;781
59;November Rain;Guns N' Roses;1991;8.934433333;80;294;0.0163;294;641;0.22;11;112;-9.316;0.0291;79.759;4;226
60;Even Flow;Pearl Jam;1991;4.876333333;75;394;0.00178;394;944;4.54E-06;10;298;-6.506;0.0761;105.338;4;265
61;You Can't Always Get What You Want;The Rolling Stones;1969;7.478666667;67;0.32;0.64;0.32;0.62;6.36E-05;0;253;-9.686;0.0594;86.327;4;472
62;Money for Nothing;Dire Straits;1985;8.44;62;667;0.0491;667;655;0.000894;2;0.0641;-9.339;0.0367;134.212;4;657
63;Nothing Else Matters;Metallica;1991;6.478883333;69;558;0.0505;558;364;5.02E-06;4;0.0753;-11.258;0.0265;142.171;3;0.17
64;Everlong;Foo Fighters;1997;4.175766667;78;413;5.99E-05;413;881;0.000308;11;0.0805;-5.541;0.0367;158.066;4;364
65;Angie;The Rolling Stones;1973;4.533333333;73;429;0.67;429;554;0.000152;9;105;-6.128;0.0291;136.302;4;407
66;Jump - 2015 Remaster;Van Halen;1984;4.02665;79;572;171;572;835;0.000376;0;0.0702;-6.219;0.0317;129.994;4;796
67;(Don't Fear) The Reaper;Blue Öyster Cult;1976;5.135333333;77;333;0.0029;333;927;0.000208;9;297;-8.55;0.0733;141.466;4;385
68;Come Together - Remastered 2009;The Beatles;1969;4.332433333;78;533;0.0302;533;376;248;9;0.0926;-11.913;0.0393;165.007;4;187
69;Jumpin’ Jack Flash - Live;The Rolling Stones;2020;6.601333333;31;157;0.00527;157;977;562;4;961;-4.198;107;141.473;4;228
70;Time;Pink Floyd;1973;6.899116667;70;358;521;358;0.48;0.00428;9;178;-11.79;0.0849;120.317;4;356
71;Should I Stay or Should I Go - Remastered;The Clash;1982;3.149766667;79;742;79;742;833;0;2;384;-6.463;115;113.375;4;816
72;Mr. Brightside;The Killers;2004;3.709766667;76;356;0.00101;356;924;0;1;0.0953;-3.74;0.0808;148.017;4;232
73;Beautiful Day;U2;2000;4.106666667;64;539;14;539;926;0.00136;2;0.36;-6.495;0.0499;136.279;4;454
74;House Of The Rising Sun;The Animals;1964;4.521333333;70;295;0.000385;295;584;218;9;0.0996;-6.696;0.0345;117.2;3;228
75;Lola - Coca Cola Version;The Kinks;1970;4.017333333;70;474;582;474;917;231;9;201;-4.19;0.0395;152.113;4;902
76;Loser;Beck;1994;3.916666667;70;654;0.0337;654;611;0.000178;2;405;-10.45;119;85.387;4;786
77;Killing In The Name;Rage Against The Machine;1992;5.226216667;78;466;0.0266;466;833;0;7;0.0327;-4.215;304;88.785;4;661
78;All My Life;Foo Fighters;2002;4.378883333;1;583;0.000231;583;586;0.000633;5;494;-5.683;0.0518;167.798;4;622
79;Walk This Way;Aerosmith;1975;3.673333333;75;653;0.0114;653;0.73;1.03E-05;5;0.0754;-10.613;43;108.705;4;894
80;Sultans of Swing;Dire Straits;1978;5.84;67;0.73;0.0632;0.73;868;0.0661;5;318;-7.325;0.0288;148.217;4;923
81;We Will Rock You - Remastered;Queen;1977;2.034433333;69;693;679;693;497;0;2;258;-7.316;119;81.308;4;473
82;Song 2 - 2012 Remaster;Blur;1997;2.019333333;76;674;0.00178;674;789;0.0071;8;0.0754;-6.903;0.0676;129.804;4;918
83;Love Will Tear Us Apart - 2010 Remaster;Joy Division;2010;3.41035;60;525;0.000989;525;902;691;2;137;-8.662;0.0368;146.83;4;907
84;Where The Streets Have No Name - Remastered;U2;1987;5.625083333;66;0.49;0.00976;0.49;724;0.0046;2;159;-9.581;0.0366;125.812;4;292
85;In the End;Linkin Park;2000;3.614666667;84;556;0.00958;556;864;0;3;209;-5.87;0.0584;105.143;4;0.4
86;Good Vibrations - Remastered;The Beach Boys;1967;3.650433333;70;396;326;396;473;0.000124;10;109;-7.67;0.0345;133.449;4;385
87;All Right Now;Free;1970;5.510716667;70;787;221;787;472;0.000336;2;153;-12.824;0.0832;120.059;4;824
88;Changes - 2015 Remaster;David Bowie;1971;3.6291;65;547;505;547;308;0;0;109;-11.75;0.0377;114.719;4;0.41
89;Paradise City;Guns N' Roses;1987;6.771766667;1;274;0.0214;274;949;0.00778;11;218;-8.642;0.0896;100.346;4;497
90;One (Remastered);Metallica;1988;7.43575;67;438;0.000668;438;687;0.0801;7;0.42;-9.15;0.0619;103.01;3;426
91;Hey Joe;Jimi Hendrix;1967;3.502666667;71;346;0.00603;346;768;0.38;9;0.0244;-5.695;0.0377;169.492;4;532
92;Sunshine Of Your Love;Cream;2004;4.173333333;71;683;385;683;594;8.61E-05;2;121;-8.289;0.0347;115.099;4;734
93;Give It Away;Red Hot Chili Peppers;1991;4.7151;73;666;0.00244;666;936;86;7;153;-9.919;0.0476;91.577;4;776
94;Take Me Out;Franz Ferdinand;2004;3.950433333;74;278;0.000423;278;676;0.000899;9;136;-8.821;0.0371;104.545;4;494
95;Sweet Home Alabama;Lynyrd Skynyrd;1974;4.73;82;596;181;596;605;0.000331;7;0.0863;-12.145;0.0255;97.798;4;886
96;Highway to Hell;AC/DC;1979;3.473333333;84;574;61;574;913;0.00158;6;156;-4.793;133;115.728;4;423
97;L.A. Woman;The Doors;1971;7.852666667;67;354;0.0817;354;731;0.00119;2;115;-9.178;0.0381;170.64;4;698
98;American Idiot;Green Day;2004;2.9391;79;0.38;2.64E-05;0.38;988;7.86E-05;1;368;-2.042;0.0639;186.113;4;769
99;Black Hole Sun;Soundgarden;1994;5.309766667;76;0.35;0.000217;0.35;828;0.000161;6;0.0774;-5.373;41;105.435;4;147
100;Maggie May;Rod Stewart;1971;5.837766667;72;605;559;605;574;113;2;0.0684;-10.536;0.0377;129.449;4;543
101;It's The End Of The World As We Know It (And I Feel Fine);R.E.M.;1987;4.11555;69;381;0.0258;381;894;0;7;0.0251;-8.638;37;205.528;4;797
102;Once in a Lifetime - 2005 Remaster;Talking Heads;1980;4.331766667;71;644;181;644;919;134;2;622;-6.289;0.0561;117.459;4;871
103;Strawberry Fields Forever - Remastered 2009;The Beatles;1967;4.122;70;0.39;336;0.39;502;0.000138;10;0.0713;-12.277;178;97.871;4;289
104;Riders on the Storm;The Doors;1971;7.245333333;74;549;0.25;549;722;0.0138;11;0.11;-11.729;0.0283;103.885;4;716
105;Thunderstruck;AC/DC;1990;4.881333333;82;502;0.000147;502;0.89;0.0117;4;217;-5.175;0.0364;133.52;4;259
106;Wonderwall - Remastered;Oasis;1995;4.3122;40;372;0.000453;372;865;0;2;234;-4.918;0.0381;174.53;4;478
107;Good Riddance (Time of Your Life);Green Day;1997;2.557766667;75;475;183;475;432;0;7;161;-7.844;0.0302;94.605;4;648
108;The Boys Are Back In Town;Thin Lizzy;1976;4.445333333;74;445;234;445;706;0.000252;8;205;-9.803;0.0461;80.823;4;768
109;Interstate Love Song - 2019 Remaster;Stone Temple Pilots;1994;3.24755;72;215;0.000273;215;927;0.00661;9;126;-7.327;0.0452;170.814;4;0.49
110;Start Me Up - Remastered;The Rolling Stones;1981;3.5511;76;631;0.0436;631;932;137;5;0.0918;-4.142;0.0354;122.429;4;971
111;Blitzkrieg Bop - 2016 Remaster;Ramones;1976;2.2411;71;385;0.000269;385;783;0.47;9;108;-2.533;233;176.701;4;902
112;Fight For Your Right;Beastie Boys;1986;3.47755;69;503;0.00757;503;858;0.00234;8;0.0803;-6.296;0.0657;133.615;5;419
113;The One I Love - Remastered;R.E.M.;1987;3.296666667;64;488;0.000395;488;0.84;1.21E-06;2;346;-4.626;0.0356;127.862;4;559
114;Walk On the Wild Side;Lou Reed;1972;4.236216667;75;575;683;575;318;0.000202;0;0.0934;-16.729;109;104.522;4;385
115;Under Pressure - (Tribute to Queen & David Bowie);Studio Allstars;2009;3.786883333;0;819;127;819;543;0.0784;2;0.0743;-11.705;0.0322;114.981;4;596
116;Yellow;Coldplay;2000;4.446216667;84;429;0.00239;429;661;0.000121;11;234;-7.227;0.0281;173.372;4;285
117;Ramble On - 1990 Remaster;Led Zeppelin;1969;4.388883333;70;468;72;468;607;0.000852;9;225;-11.367;0.0336;98.429;4;886
118;We Are The Champions - Remastered 2011;Queen;1977;2.986666667;64;268;378;268;459;0;7;119;-6.948;0.0346;64.223;4;172
119;Go Your Own Way - 2004 Remaster;Fleetwood Mac;1977;3.726883333;75;586;0.0167;586;941;0.000776;5;68;-5.139;0.0375;135.448;4;831
120;Numb;Linkin Park;2003;3.0931;82;496;0.0046;496;863;0;9;639;-4.153;0.0381;110.018;4;243
121;Blue Monday - 2016 Remaster;New Order;2005;7.513333333;69;793;0.000726;793;703;0.88;0;75;-9.548;0.0581;130.27;4;856
122;While My Guitar Gently Weeps - Third Version / Take 27;The Beatles;2018;3.288433333;31;0.54;0.24;0.54;512;0.0181;4;587;-9.839;0.0348;113.158;4;759
123;I Love Rock 'N Roll;Joan Jett & The Blackhearts;1981;2.91955;73;535;326;535;716;0;4;659;-5.025;0.0431;94.379;4;901
124;White Room;Cream;1968;4.972216667;72;553;191;553;576;0.00664;0;0.0365;-13.458;0.0304;109.827;4;457
125;How You Remind Me;Nickelback;2001;3.730666667;78;446;0.00135;446;764;0;10;99;-5.042;33;172.094;4;543
126;Space Oddity - 2015 Remaster;David Bowie;1969;5.31355;73;299;0.0748;299;443;0.000138;0;177;-12.621;0.0346;139.539;4;434
127;The Weight - Remastered;The Band;1968;4.574883333;73;0.63;373;0.63;551;5.75E-05;9;103;-9.28;0.0549;143.868;4;518
128;Sledgehammer - 2012 Remaster;Peter Gabriel;1986;5.199766667;57;641;44;641;682;0;8;0.0394;-7.561;0.0392;96.319;4;468
129;Mysterious Ways;U2;1991;4.059766667;61;674;0.00156;674;659;0.00765;8;108;-8.049;0.0277;99.768;4;697
130;Bring Me To Life;Evanescence;2003;3.93155;80;331;0.00721;331;943;2.06E-06;4;242;-3.188;0.0698;94.612;4;296
131;You Really Got Me - Mono Mix;The Kinks;1964;2.23755;71;573;493;573;939;0;8;0.0994;-6.441;0.0808;137.382;4;963
132;Been Caught Stealing;Jane's Addiction;1990;3.578433333;58;639;0.00326;639;929;0.0501;0;242;-4.762;212;103.758;4;688
133;Plush - 2017 Remaster;Stone Temple Pilots;1992;5.232433333;62;426;0.00671;426;0.94;1.72E-06;7;0.14;-5.279;0.0423;144.49;4;466
134;Rock the Casbah - Remastered;The Clash;1982;3.7071;72;796;287;796;872;0;9;284;-6.722;0.0573;129.894;4;866
135;Foxey Lady;Jimi Hendrix;1997;3.304883333;46;494;0.0613;494;838;0.26;4;405;-6.028;0.0387;98.019;4;558
136;Shine On You Crazy Diamond (Pts. 1-5);Pink Floyd;1975;13.51795;66;266;771;266;294;697;7;107;-11.938;0.0291;137.941;3;0.0397
137;Livin' On A Prayer;Bon Jovi;1986;4.154883333;2;534;0.0768;534;887;9.93E-05;0;325;-3.777;0.0345;122.494;4;0.72
138;Me and Bobby McGee;Janis Joplin;1971;4.522216667;72;453;302;453;464;5.96E-05;2;152;-10.96;0.0431;93.19;4;658
139;Who Are You;The Who;1978;6.360433333;69;651;262;651;648;0.0042;9;0.0655;-11.409;0.0501;156.372;4;0.49
140;Brown Sugar - 2009 Mix;The Rolling Stones;1971;3.8111;69;633;219;633;934;0.00021;0;0.0592;-3.594;0.0344;128.606;4;963
141;Black;Pearl Jam;1991;5.710883333;74;0.36;323;0.36;684;0;4;0.34;-6.457;0.0308;77.15;4;0.2
142;Lust For Life;Iggy Pop;1977;5.232083333;67;383;0.0276;383;0.97;0;9;0.0942;-5.638;0.0435;101.603;4;0.62
143;Carry on Wayward Son;Kansas;1976;5.383333333;75;482;0.00321;482;786;8.88E-05;7;446;-5.735;32;126.755;4;793
144;Rock And Roll All Nite;KISS;1975;2.814;75;654;0.0468;654;929;0;1;0.0539;-5.906;0.0998;144.774;4;902
145;American Pie;Don McLean;1971;8.614883333;75;531;699;531;481;0;4;0.0842;-11.709;0.06;138.45;4;491
146;Cocaine;Eric Clapton;1977;3.694;67;699;0.0607;699;502;0.0337;9;317;-12.526;0.0278;105.266;4;676
147;Runnin' with the Devil - 2015 Remaster;Van Halen;1978;3.582666667;72;472;148;472;0.9;0.000297;8;0.34;-6.406;0.0582;95.826;4;0.42
148;Honky Tonk Women - Live;The Rolling Stones;2020;4.91;35;368;0.0137;368;987;0.00329;7;0.96;-4.482;115;120.346;4;342
149;Clocks;Coldplay;2002;5.131316667;77;577;599;577;749;0.0115;5;183;-7.215;0.0279;130.97;4;255
150;Best of You;Foo Fighters;2005;4.260433333;76;366;0.000769;366;0.94;9.42E-05;1;188;-5.119;0.0696;130.198;4;369
151;Ziggy Stardust - 2012 Remaster;David Bowie;1972;3.240666667;64;0.44;48;0.44;565;0;7;213;-11.657;121;161.124;4;495
152;By the Way;Red Hot Chili Peppers;2002;3.61555;73;451;0.0264;451;0.97;0.00355;0;102;-4.938;107;122.444;4;198
153;Paranoid Android;Radiohead;1997;6.45355;67;252;0.0377;252;849;0.00592;5;0.0545;-6.501;0.0581;163.704;4;194
154;Personal Jesus - Single Version;Depeche Mode;1998;3.748883333;70;673;0.0911;673;899;0.0172;11;0.0481;-3.528;0.0434;129.885;4;793
155;In Bloom - Nevermind Version;Nirvana;1991;4.251333333;65;436;3.33E-05;436;876;0.000104;10;205;-4.902;0.0647;157.044;4;512
156;Dirty Deeds Done Dirt Cheap;AC/DC;1976;3.86555;74;668;214;668;906;0.00245;11;135;-4.881;0.17;135.653;4;507
157;Karma Police;Radiohead;1997;4.4011;74;0.36;0.0626;0.36;505;9.22E-05;7;172;-9.129;26;74.807;4;317
158;Revolution - Remastered 2009;The Beatles;1973;3.42155;66;407;0.0734;407;834;0.00021;6;241;-9.224;208;121.38;4;0.71
159;Free Fallin';Tom Petty;1989;4.266666667;78;623;212;623;449;0;5;0.0613;-13.333;0.0253;84.383;4;572
160;Something - Remastered 2009;The Beatles;1969;3.038216667;71;396;198;396;338;2.62E-06;0;138;-10.872;0.0304;133.522;4;377
161;How Soon Is Now? - 2011 Remaster;The Smiths;1984;6.802883333;70;398;0.000854;398;0.93;121;11;0.0874;-6.76;0.0615;190.818;4;725
162;A Whiter Shade of Pale - Original Single Version;Procol Harum;1967;4.1491;47;249;504;249;0.66;0.0026;0;0.0891;-6.905;0.0342;149.813;4;435
163;Buddy Holly;Various Artists;2020;2.682883333;4;0.52;0.000572;0.52;912;0.000378;8;0.0554;-3.118;0.0372;121.206;4;821
164;Black Magic Woman - Single Version;Santana;1969;3.274433333;67;489;676;489;349;0.0789;2;0.0866;-14.295;0.0323;124.348;4;622
165;Boulevard of Broken Dreams;Green Day;2017;4.372216667;75;496;0.00552;496;682;2.94E-05;8;0.0589;-4.095;0.0294;167.06;4;474
166;Bang A Gong (Get It On) (Electric Version);T. Rex;2010;4.744716667;44;788;451;788;748;0.00408;9;104;-6.907;0.0306;121.047;4;845
167;Wild Horses - 2009 Mix;The Rolling Stones;1971;5.696216667;72;432;687;432;389;0.0107;7;0.0788;-6.517;0.0255;139.506;4;158
168;Another One Bites The Dust - Remastered 2011;Queen;1980;3.57755;73;933;112;933;528;329;5;163;-6.472;162;109.975;4;756
169;Lithium;Nirvana;1991;4.284216667;68;678;0.00174;678;656;0;7;0.0631;-6.41;0.0381;123.207;4;485
170;Yesterday - Remastered 2009;The Beatles;1965;2.094433333;77;332;879;332;179;0;5;0.0886;-11.83;0.0326;96.529;4;315
171;When I Come Around;Green Day;1994;2.966666667;74;531;0.0175;531;909;0;11;231;-4.236;34;97.546;4;814
172;Sex on Fire;Kings of Leon;2008;3.3891;80;542;0.00172;542;905;0.0104;9;136;-5.653;54;153.398;4;374
173;Heart of Gold - 2009 Remaster;Neil Young;1972;3.116883333;73;541;189;541;459;0.0274;4;99;-10.433;0.0297;171.165;4;803
174;Hey Ya! - Radio Mix;OutKast;2003;3.920216667;78;727;103;727;974;0.000532;4;174;-2.261;0.0664;79.526;4;965
175;Superstition - Single Version;Stevie Wonder;2002;4.09155;0;643;0.0443;643;628;0.00613;10;0.0359;-12.075;0.0748;100.392;4;894
176;Hells Bells;AC/DC;1980;5.204883333;75;389;0.00532;389;873;0.0055;4;273;-4.768;0.0475;106.767;4;303
177;Eleanor Rigby - Remastered 2009;The Beatles;1966;2.108883333;69;581;936;581;0.28;1.56E-05;4;305;-9.091;0.0381;137.831;4;813
178;No One Knows;Queens of the Stone Age;2002;4.6451;65;507;0.0359;507;588;0.000129;0;373;-4.881;0.0641;170.889;4;637
179;Ace of Spades;Motörhead;1980;2.782;74;329;0.000852;329;974;0.000118;3;0.0904;-8.77;135;140.862;4;234
180;A Hard Day's Night - Remastered 2009;The Beatles;1964;2.57;67;0.59;137;0.59;805;0;0;0.0996;-6.481;0.0371;138.514;4;797
181;Tom Sawyer;Rush;1981;4.614666667;72;536;0.00145;536;901;0.0186;9;0.06;-7.211;0.0374;87.559;4;666
182;Fortunate Son;Creedence Clearwater Revival;1969;2.346216667;81;0.64;201;0.64;663;0.00806;0;152;-7.516;0.0374;132.77;4;663
183;Anarchy In The U.K. - Live From Finsbury Park,London,United Kingdom/1996;Sex Pistols;1996;3.54155;30;273;7.14E-05;273;953;0.00159;4;968;-6.627;0.0614;134.887;4;285
184;Drive;Incubus;1999;3.874216667;74;645;0.0562;645;792;0.0121;4;119;-7.34;36;90.565;4;666
185;Somebody to Love;Jefferson Airplane;1967;2.914;72;504;408;504;578;0;4;321;-9.302;31;132.411;4;654
186;School's Out;Alice Cooper;1972;3.501766667;67;294;0.05;294;745;125;5;676;-9.138;0.0461;134.364;4;347
187;Respect;Aretha Franklin;1967;2.46;73;805;164;805;558;2.20E-05;0;0.0546;-5.226;41;114.95;4;965
188;Last Resort;Papa Roach;2000;3.33155;2;581;0.000504;581;887;0.00111;4;268;-3.659;0.0624;90.578;4;724
189;Refugee;Tom Petty and the Heartbreakers;1979;3.36155;64;579;0.0273;579;705;0;6;0.0704;-4.911;0.0339;116.173;4;761
190;La Grange - 2005 Remaster;ZZ Top;1973;3.841333333;76;545;0.00249;545;0.64;0.0304;4;196;-9.937;224;80.544;4;606
191;Bad Moon Rising;Creedence Clearwater Revival;1969;2.36;78;508;0.0586;508;774;4.87E-06;2;63;-5.973;0.0321;178.946;4;942
192;Nights In White Satin - Single Version / Mono Mix;The Moody Blues;1967;4.4851;68;195;465;195;483;497;4;0.0686;-4.991;0.03;84.71;4;173
193;Bridge Over Troubled Water;Simon & Garfunkel;1970;4.885333333;72;149;822;149;206;0.000649;3;115;-13.888;0.0323;79.764;4;264
194;All Apologies;Nirvana;1993;3.886216667;69;446;0.0793;446;632;0.000266;1;0.0881;-12.197;34;113.176;4;359
195;Born in the U.S.A.;Bruce Springsteen;1984;4.644666667;75;398;0.000373;398;952;7.75E-05;4;0.1;-6.042;61;122.093;4;584
196;Pour Some Sugar On Me - Remastered 2017;Def Leppard;1987;4.4551;74;267;0.00211;267;953;0;1;283;-4.899;96;84.989;4;568
197;Better Man;Pearl Jam;1994;4.476433333;67;445;165;445;671;1.56E-05;2;0.0791;-7.937;0.0387;125.712;4;267
198;Over the Hills and Far Away - 1990 Remaster;Led Zeppelin;1973;4.822666667;61;412;0.0582;412;0.54;0.0717;7;0.0849;-13.897;0.0516;96.783;4;299
199;Blister In The Sun;Violent Femmes;1983;2.428433333;69;726;316;726;537;0;0;0.0707;-8.896;113;96.91;4;887
200;Californication;Red Hot Chili Peppers;1999;5.49555;81;592;0.0021;592;767;0.00165;9;127;-2.788;27;96.483;4;328
